ldiff,lrf
-8.12098859435434,0
-7.48198399308653,0
-7.75476607843746,0
-8.08162720996787,0
-2.00089525651595,0
-2.01724702276033,0
-3.96054069840068,0
-3.85421495932133,0
-8.20510110664398,0
-8.21846426171926,0
-7.88161490381769,0
-8.03471407856822,0
-2.00657134655751,0
-3.50613076518414,0
-8.1792580326058,0
-25.0215153092649,0.693147180559945
-25.1445464795406,0.693147180559945
-5.13193421871861,0.693147180559945
-4.96529705011786,0.693147180559945
-1.39097203983908,0.693147180559945
-3.23077654893189,0.693147180559945
-4.0994154143952,0.693147180559945
-3.1438107623693,0.693147180559945
-6.9245477711529,0.693147180559945
-7.25022858509345,0.693147180559945
-25.9263305746781,0.693147180559945
-6.24161136602358,0.693147180559945
-0.888517228464821,0.693147180559945
-2.82153149823534,0.693147180559945
-7.05168265555483,0.693147180559945
-27.7500380170922,1.79175946922805
-0.814079401179811,1.79175946922805
-7.95326096382406,1.79175946922805
-5.9600604723572,1.79175946922805
-4.30939593337848,1.79175946922805
-3.73774426775822,1.79175946922805
-7.72353177552458,1.79175946922805
-7.39942584392361,1.79175946922805
-1.86520281232333,1.79175946922805
-0.884543166656954,1.79175946922805
-1.46647608195758,1.79175946922805
-5.90696558779869,1.79175946922805
-4.78905122840524,1.79175946922805
-9.2974218341638,1.79175946922805
-1.65954391381047,1.79175946922805
-24.0069279518777,3.17805383034795
-15.0157886971961,3.17805383034795
-2.84566684844633,3.17805383034795
-10.4012337600827,3.17805383034795
-6.40387436491176,3.17805383034795
-6.90437922716455,3.17805383034795
-3.89275328494983,3.17805383034795
-27.2014271532793,3.17805383034795
-4.40741180943999,3.17805383034795
-14.0283780498389,3.17805383034795
-11.656145187623,3.17805383034795
-9.49448185772513,3.17805383034795
-6.55588056551858,3.17805383034795
-5.28467694327639,3.17805383034795
-1.51305646738743,3.17805383034795
-24.4034871135257,4.78749174278205
-0.158022967995748,4.78749174278205
-5.18614466774945,4.78749174278205
-15.24250528588,4.78749174278205
-7.00593729015941,4.78749174278205
-0.573719353782394,4.78749174278205
-5.43653587019963,4.78749174278205
-6.86066908465506,4.78749174278205
-1.07259379972326,4.78749174278205
-10.9400387568546,4.78749174278205
-0.842976642880672,4.78749174278205
-10.1062934749591,4.78749174278205
-2.80371638886413,4.78749174278205
-1.10202579449583,4.78749174278205
-5.71374014616543,4.78749174278205
-10.6644327144783,6.5792512120101
-14.9108881417409,6.5792512120101
-7.11606912715592,6.5792512120101
-0.457130016453334,6.5792512120101
-5.69690698174398,6.5792512120101
-6.33888539193208,8.52516136106541
-14.8040354501105,8.52516136106541
-1.83816346115805,8.52516136106541
-5.41002162430794,8.52516136106541
-10.1102960873352,8.52516136106541
-6.78169504516279,10.6046029027453
-7.53252683541083,10.6046029027453
-13.919962975604,10.6046029027453
-10.408853929723,10.6046029027453
-11.4331658905402,10.6046029027453
-4.37048098976095,12.8018274800815
-15.790233540924,12.8018274800815
-11.5624864162922,12.8018274800815
-3.02384834955546,12.8018274800815
-4.99151167182714,12.8018274800815
-21.7015242450565,15.1044125730755
-2.74099074255622,15.1044125730755
-3.17793608410852,15.1044125730755
-0.475658927333427,15.1044125730755
-13.6599063461029,15.1044125730755
